ZipCode,City,State,Latitude,Longitude,Classification,Population
"37090","LEBANON","TN","36.1291","-86.2548","","12922"
"37091","LEWISBURG","TN","35.4950","-86.7644","","21005"
"37095","LIBERTY","TN","35.9739","-85.9382","","1854"
"37096","LINDEN","TN","35.5768","-87.8423","","5503"
"37097","LOBELVILLE","TN","35.7462","-87.8758","","2294"
"37098","LYLES","TN","35.8667","-87.3252","","5382"
"37101","MC EWEN","TN","36.0492","-87.6518","","6422"
"37110","MCMINNVILLE","TN","35.6859","-85.7638","","32495"
"37111","MCMINNVILLE","TN","35.6563","-85.7837","P","0"
"37115","MADISON","TN","36.2554","-86.6983","","37316"
"37116","MADISON","TN","36.2561","-86.7138","P","0"
"37118","MILTON","TN","35.9325","-86.1785","","1264"
"37119","MITCHELLVILLE","TN","36.6329","-86.5372","P","0"
"37121","MOUNT JULIET","TN","36.1974","-86.4365","P","0"
"37122","MOUNT JULIET","TN","36.1753","-86.4909","","46463"
"37127","MURFREESBORO","TN","35.7752","-86.3311","","15786"
"37128","MURFREESBORO","TN","35.7993","-86.4912","","38966"
"37129","MURFREESBORO","TN","35.9299","-86.4630","","49103"
"37130","MURFREESBORO","TN","35.8925","-86.3170","","52070"
"37131","MURFREESBORO","TN","35.8457","-86.3903","U","0"
"37132","MURFREESBORO","TN","35.8488","-86.3621","U","2776"
"37133","MURFREESBORO","TN","35.8457","-86.3903","P","0"
"37134","NEW JOHNSONVILLE","TN","36.0050","-87.9380","","3061"
"37135","NOLENSVILLE","TN","35.9340","-86.6719","","9681"
"37136","NORENE","TN","36.0601","-86.2447","P","0"
"37137","NUNNELLY","TN","35.8802","-87.5029","","2725"
"37138","OLD HICKORY","TN","36.2497","-86.6150","","22191"
"37140","ONLY","TN","35.8669","-87.6528","","1365"
"37141","ORLINDA","TN","36.6137","-86.7013","","1224"
"37142","PALMYRA","TN","36.4050","-87.4939","","1902"
"37143","PEGRAM","TN","36.1275","-87.0318","","3818"
"37144","PETERSBURG","TN","35.3066","-86.6856","","3344"
"37145","PLEASANT SHADE","TN","36.3685","-85.9020","","2157"
"37146","PLEASANT VIEW","TN","36.4007","-87.0436","","7182"
"37148","PORTLAND","TN","36.5578","-86.5294","","22320"
"37149","READYVILLE","TN","35.7930","-86.2026","","2210"
"37150","RED BOILING SPRINGS","TN","36.5171","-85.8114","","4894"
"37151","RIDDLETON","TN","36.3196","-86.0507","","565"
"37152","RIDGETOP","TN","36.3965","-86.7668","P","0"
"37153","ROCKVALE","TN","35.7619","-86.5565","","5520"
"37160","SHELBYVILLE","TN","35.4806","-86.4679","","32744"
"37161","SHELBYVILLE","TN","35.4835","-86.4603","U","0"
"37162","SHELBYVILLE","TN","35.4850","-86.4602","P","0"
"37165","SLAYDEN","TN","36.2968","-87.4729","P","70"
"37166","SMITHVILLE","TN","35.9386","-85.7874","","13446"
"37167","SMYRNA","TN","35.9532","-86.5287","","49322"
"37171","SOUTHSIDE","TN","36.3674","-87.3022","","917"
"37172","SPRINGFIELD","TN","36.5094","-86.8576","","28714"
"37174","SPRING HILL","TN","35.7181","-86.8923","","26418"
"37175","STEWART","TN","36.3336","-87.8872","","1015"
"37178","TENNESSEE RIDGE","TN","36.3185","-87.7825","","2112"
"37179","THOMPSONS STATION","TN","35.8099","-86.8935","","11767"
"37180","UNIONVILLE","TN","35.6098","-86.5808","","3033"
"37181","VANLEER","TN","36.2458","-87.4652","","1534"
"37183","WARTRACE","TN","35.5022","-86.3028","","3229"
"37184","WATERTOWN","TN","36.0853","-86.1488","","5844"
"37185","WAVERLY","TN","36.0243","-87.8192","","8638"
"37186","WESTMORELAND","TN","36.5804","-86.2495","","9184"
"37187","WHITE BLUFF","TN","36.1458","-87.1942","","6829"
"37188","WHITE HOUSE","TN","36.4819","-86.6712","","13643"
"37189","WHITES CREEK","TN","36.2869","-86.8304","","3320"
"37190","WOODBURY","TN","35.8349","-86.0387","","8787"
"37191","WOODLAWN","TN","36.4962","-87.5326","","4020"
"37201","NASHVILLE","TN","36.1660","-86.7732","","2137"
"37202","NASHVILLE","TN","36.1598","-86.7904","P","0"
"37203","NASHVILLE","TN","36.1504","-86.7913","","11883"
"37204","NASHVILLE","TN","36.1080","-86.7762","","12031"
"37205","NASHVILLE","TN","36.1120","-86.8683","","24057"
"37206","NASHVILLE","TN","36.1801","-86.7293","","25699"
"37207","NASHVILLE","TN","36.2333","-86.7822","","34880"
"37208","NASHVILLE","TN","36.1757","-86.8062","","16067"
"37209","NASHVILLE","TN","36.1509","-86.9052","","35457"
"37210","NASHVILLE","TN","36.1392","-86.7324","","16067"
"37211","NASHVILLE","TN","36.0684","-86.7239","","74755"
"37212","NASHVILLE","TN","36.1323","-86.8036","","20148"
"37213","NASHVILLE","TN","36.1679","-86.7623","","218"
"37214","NASHVILLE","TN","36.1679","-86.6605","","28973"
"37215","NASHVILLE","TN","36.0879","-86.8379","","21190"
"37216","NASHVILLE","TN","36.2168","-86.7244","","17848"
"37217","NASHVILLE","TN","36.1059","-86.6617","","29599"
"37218","NASHVILLE","TN","36.1998","-86.8967","","14855"
"37219","NASHVILLE","TN","36.1676","-86.7839","","1162"
"37220","NASHVILLE","TN","36.0657","-86.7811","","5786"
"37221","NASHVILLE","TN","36.0591","-86.9598","","36610"
"37222","NASHVILLE","TN","36.1656","-86.7845","P","0"
"37224","NASHVILLE","TN","36.1656","-86.7845","P","0"
"37227","NASHVILLE","TN","36.1656","-86.7845","P","0"
"37228","NASHVILLE","TN","36.1940","-86.8051","","1160"
"37229","NASHVILLE","TN","36.1623","-86.7844","P","0"
"37230","NASHVILLE","TN","36.1656","-86.7845","P","0"
"37232","NASHVILLE","TN","36.1656","-86.7845","U","0"
"37234","NASHVILLE","TN","36.1656","-86.7845","U","0"
"37235","NASHVILLE","TN","36.1649","-86.7814","U","0"
"37236","NASHVILLE","TN","36.1656","-86.7845","U","0"
"37238","NASHVILLE","TN","36.1648","-86.7787","","0"
"37240","NASHVILLE","TN","36.1468","-86.8038","U","754"
"37241","NASHVILLE","TN","36.1656","-86.7845","U","0"
"37242","NASHVILLE","TN","36.1663","-86.7798","U","0"
"37243","NASHVILLE","TN","36.1623","-86.7847","U","0"
"37244","NASHVILLE","TN","36.1649","-86.7817","P","0"
"37246","NASHVILLE","TN","36.1656","-86.7845","U","0"
"37250","NASHVILLE","TN","36.1656","-86.7845","U","0"
"37301","ALTAMONT","TN","35.4490","-85.7839","","1429"
"37302","APISON","TN","35.0206","-85.0205","","3730"
"37303","ATHENS","TN","35.4202","-84.6513","","25461"
"37304","BAKEWELL","TN","35.3450","-85.1325","","0"
"37305","BEERSHEBA SPRINGS","TN","35.4793","-85.6478","","889"
"37306","BELVIDERE","TN","35.0934","-86.1820","","2760"
"37307","BENTON","TN","35.1685","-84.6296","","4870"
"37308","BIRCHWOOD","TN","35.3336","-84.9953","","2772"
"37309","CALHOUN","TN","35.3234","-84.7545","","2138"
"37310","CHARLESTON","TN","35.2653","-84.7774","","4135"
"37311","CLEVELAND","TN","35.0929","-84.9155","","27373"
